t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2660980.902777778,0,0.7964987229967943,0.8563935128191404,0
1,245000000.0,0,2534375.0,2796961.8055555555,0,1.7659661855679487,1.7888379431050634,0
2,245000000.0,0,2343750.0,2932942.7083333335,0,2.7609844497148215,2.852969399722785,0
3,245000000.0,0,2543750.0,3068923.611111111,0,3.733512693112637,3.785931820414579,0
4,245000000.0,0,2353125.0,3204904.513888889,0,4.739218454308058,4.849572558806351,0
5,245000000.0,0,2553125.0,3335460.0694444445,0,5.664685098135609,5.7830470317623455,0
6,245000000.0,0,2362500.0,3458420.138888889,0,6.606243703351606,6.846202665538397,0
7,245000000.0,0,2562500.0,3584092.8819444445,0,7.592265894208488,7.780183343085625,0
8,245000000.0,0,2371875.0,3708680.5555555555,0,8.58598660448154,8.842859400516252,0
9,245000000.0,0,2571875.0,3836460.924546788,0,8.191086059206347,9.777340523733178,0
10,245000000.0,0,2381250.0,3957281.993206651,0,8.655193748513451,10.839542449365096,0
11,245000000.0,0,2581250.0,4079188.131310957,0,9.45577505780525,11.77451834640333,0
12,245000000.0,0,2390625.0,4180066.2113936003,0,10.38550447223606,12.836251502639419,0
13,245000000.0,0,2590625.0,4261246.275867095,0,11.31511972216785,13.771716587083393,0
14,245000000.0,0,2400000.0,4361801.793798185,0,11.283669027658956,14.83298625572678,0
15,245000000.0,0,2600000.0,4420619.710665668,0,12.48447004629357,15.768935024990387,0
16,245000000.0,0,2409375.0,4475425.919998854,0,8.490902267261388,16.829746408753824,0
17,245000000.0,0,2609375.0,4525498.864439155,0,9.770510985012196,17.76617344251305,0
18,245000000.0,0,2418750.0,4554309.171998559,0,11.561773728612602,18.82653166649447,0
19,245000000.0,0,2383038.743481041,4589801.1452206345,0,11.57120770169967,19.76343162515507,0
20,245000000.0,0,2428125.0,4612282.588971678,0,8.814743427438886,20.823341738280245,0
21,245000000.0,0,2628125.0,4635512.83161061,0,13.390959244194253,21.76070936147958,0
22,245000000.0,0,2437500.0,4656464.226473765,0,10.62951198527108,22.820176337912653,0
23,245000000.0,0,2637500.0,4677684.627554145,0,13.019811537532734,23.758006443054764,0
24,245000000.0,0,2446875.0,4681852.461198076,0,10.478693863136316,24.817035183577595,0
25,245000000.0,0,2646875.0,4683150.987278453,0,10.88611407878578,25.755322664400698,0
26,245000000.0,0,2456250.0,4680428.730921384,0,8.471139823717419,26.813917997761724,0
27,245000000.0,0,2656250.0,4698671.734050734,0,10.288495113648402,27.75265782293725,0
28,245000000.0,0,2465625.0,4695667.776195075,0,7.475238370697511,28.81082450717073,0
